Text,Sentiment
Hani dert merci khouya ??,1
Hhh merci,1
Hhhh Mhm Mhm 3jbtini hhh,1
hhhhh merci,1
Hichem BZ inchallah tu gagne,1
ID Siham mdr nchallah même si c juste dans nos rêves mais bon ??????,1
Il faut répondre à la question et taguer 3 de vos amis sur le même commentaire ! Bon courage :),1
Il faut répondre à la question et taguer 3 de vos amis sur le même commentaire !Bonne chance :),1
Imene Soal ki terbhi nchalah a3tini chargeur ????????,1
Imene Soal nchalah tarbhi ?,1
Imene Soal nchalah terbhi ????,1
Imene Soal nchallah terb7i Rani dertlek j aime te7abi nzidlek j adore,1
Incha alah cousine ???,1
Inchalah tu vas le gagne ca sera ton cadeau pour ton anniv,1
Inchallah anerbah hhhh,1
inchallah la prochaine fois Merce ,1
Inchallah tu gagner ma belle,1
Inchallah tu vas gagner ??,1
Inchalleh j gagne,1
J espère que tu gagneras inchallah,1
J'ai déjà confirmé ma participation au jeux merci,1
J'ai suivie toutes les règles ??Que la chance soit avec moi nchallah,1
Jana SuperGirl merci,1
Jasmine Djidjeli bonne chance mon amie,1
J'espère vraiment gagné cette fois merci a vous @,1
Kahina Debboub haha bonne chance Tawes. Mekhlouf inchalah w li daweh khawa khawa !,1
Kamel Tennoun si tu gagnes psq mon nom t a porté chance on partage,1
Karim Krim bon courage,1
Karima Yahia Cherif bonne chance soeurette,1
KenZa Btldj bonne chance,1
La bonne réponse est Khawla Bouaziz Khadidja Khadidja Sara Widadiya,1
Lahcene Ch Bonne chance,1
Le B One est unique et fait pour vous ??,1
Lilya Iml bon courage,1
lol merci,1
Lol ok merci,1
"Løn Dønïst pas de quoi, inchallah mn frère",1
?'?? Qûë nchalah frr lokan narba7 nsawrak hhhhhhh,1
Lotfi Ziadan Bn courage Nchllh mrbouha,1
Lyes Phenix bonne chance,1
Mabrouk 3lik 39oba liya,1
Mabrouk aliik frérot Fouad :) (inchlh),1
Madjid Sympas. Bn courage,1
Mary Oulmane bonne chance ??,1
Merci beaucoup bisous,1
Merci beaucoup ma chérie,1
merci ,1
Merci  fooooor,1
Merci ?,1
merci comme même ?,1
merci dahouch ??,1
merci frr,1
merci Frr ??,1
merci hhhh de plus que je viens d acheter un lave linge  donc ça va ??,1
Merci khouya l3ziz,1
merci lahcene,1
Merci lundi 1er avril ygoulek poisson d avril yuhuuu,1
merci ma belle :D ani nbipilk bih ki nrebhou,1
Merci ma chérie hhhh,1
merci ma chérie mais je gagne jamais hhhh,1
Merci merci ??????,1
Merci Millia :D ??,1
merci mn frère el mouhim nechaleh aterbhet,1
Merci nchallah tih m3a l'anniversaire nta3i un cadeaux hayal,1
Merci pour ce concours inshlh ya rab nrbah je tague Aymen AminoEdward BenAymen Rabahi Aymen Chinwi FidalAmin Japoni,1
merci pour l'invitation,1
Merci pour votre participation <3,1
merci Salah khouya,1
Merci soum,1
merci ??,1
Merci ????,1
MERCI???,1
MerciPour le concours inchallah arbah ????????????????????????,1
mercii ma belle,1
Merciii j espèrede de tout mon coeur être parmi les heureux gagnants,1
merciiii,1
Merciiii amigooo,1
Merciiiii les fillles ??,1
merciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii ,1
merciii??,1
Meriem Aoudar Epse Adjaoud bonne chance,1
Mhm Mhm 3jbtini hhhh,1
Moh Toumi mdrr fiha khir nchalah,1
Mohamed Hamza nchalah frr hâta ldok Bradt mazal machafoch fiya kml,1
Moufida Halfaoui Eps Tazir nchalaah,1
Mustapha nerbho brabi nchallah,1
Nacim Larbi hh inchalah terbah mais zid ajouti bezzafff,1
Nacim Larbi Il faut répondre à la question et taguer 3 de vos amis sur le même commentaire ! Bon courage :),1
Nadir Kadid tnkx and Good Luck ????,1
Nari Joum bonne chance,1
Nassim Ayz Mdrrrrr nchallah atrebhet binome !!!,1
Nchalah il sera pour toi,1
Nchalah narbah Bonne chance à toutes ??,1
Nchalah narbah had lmara,1
Nchalah terba7 ya baraka XD,1
Nchalah tu va réussire et en va partagé bien sur,1
Nchalh,1
Nchalh kho,1
Nchalh terbah .W sa3a 3la sa3a selfhouna tant que fih batrie mliha,1
Nchallah atidravhat,1
nchallah tawes je suis rien sans telephone..jspr gagné,1
nchallah terbhi khti mimi,1
Nchallah terebhi,1
Nchallah ymedoulek wahed,1
Nchalllah atrvehet lol,1
Nchlh bn chance,1
Ni Na ihiiiih lala mlih hahahahaha nchlh treb7i :3 ??????,1
Nina Rose bon courage,1
Nouakid Mechden C'est déjà fait mdrrr,1
"Nous vous conseillons de tenter votre chance, qui sait :D :)",1
Nous vous remercions pour votre commentaire bien soigné :D Bonne chance <3,1
Nous vous remercions pour votre participation ?,1
Nous vous remercions pour votre participation ? :),1
Nous vous remercions pour votre participation ? :D,1
Nous vous remercions pour votre participation ? ^_^,1
Nous vous remercions pour votre participation ? <3,1
Nous vous remercions pour votre participation ?:),1
Nous vous remercions pour votre participation ?:D,1
Nous vous remercions pour votre participation ?^_^,1
Nous vous remercions pour votre participation ?<3,1
Nous vous remercions pour votre participation :),1
Nous vous remercions pour votre participation :D,1
Nous vous remercions pour votre participation ^_^,1
Nous vous remercions pour votre participation <3,1
Nous vous remercions Rahim ^_^ <3,1
OussaMa Khebbab nchallah 3lah Lala ????,1
Parfait :) Merci <3,1
Parfait :D Bonne chance Hafsa <3,1
Pas la maniere dont vous faites vos pub ??,1
Paul Pogba hhhhh ouï Bein sûr,1
Rabah Mahfoudi bonne chance bro,1
Rafika Derdeche inchaallah,1
Rahim Oubraham atsawit nchallah a yacherik,1
Rahim Oubraham nchallah atsrevhedh a yacherik,1
Rani hadart ma3ahom c bon rak rebaht dok chawiya ye3aytolak hhhhhhhh,1
"Rassurez vous, ça ne l'est pas :D Bonne chance <3",1
Rëin Du Rëine Du Bonheur,1
Sabrina Chelli bonne chance,1
Serine Amani vous devez répondre à la question et taguer 3 de vos amis sur le même commentaire !Bonne chance :),1
S?r?dj E?d?ñe howa tarbeh ch3aaar bsh ta ncharek ????,1
Sôf Îàne nchalah d les cheveux l3ali machi am aglak :),-1
Sofiane Redjradj Bonne chance frérot ! ??,1
Sonia Hammache On va gagner un os ... c'est pour ça qu'ils l'ont appelé Bone ...,1
Sonia Lotus Bonne courage ??????,1
Souhila Hami Messafeur mlih hada,1
Thara Chabi nchalah t rabhi hanouna,1
Thouguid asarwoud mdrrrrrr nchalah nchalah pourquoi pas,1
Tifa Hugo pour ne pas te dire bonne chance je te dit me..e,1
Tina Gouzbit inchalah you will be the winner. Best wishes. Love u little sis????,1
Tina Nelia bonne chance,1
Très bien :D Bonne chance ^_^,1
"Très satisfait je l'ai acheté pour mon fils , il l'a adopté très rapidement c'est génial",1
VàLérià MàrLine l oppo rani fidele ?? nchaaalaaah,1
Walid Bensefa inchallah terbah,1
Wissam BM Benali bonne chance ma chère,1
Yack Salmi inchallah c'est pour toi mais tu me dois un selfie ??,1
YoDá YoDá bonne chance ??,1
Youzarsif Sifou inchallah hobi ????,1
Zahra Zolo bon courage ma belle ????,1
Zahra Zolo inchaalah fiha ????,1
Zákï MAhi DDìne nchalah matrbe7ch,1
Zineb Djebar nchallah ??,1
Ziyad Bendada Bon appétit ??,1
??? ???????'? bn courage ?,1
??? ???????'?bone crage,1
???? ?? ??? ???? ????? ???????,1
???? ????? bon courage?,1
?????? bonne chance,1
???? Merciii,1
?? bonne courage,1
????????,1
Chafi Zakaria Zaki Il faut répondre à la question et taguer 3 de vos amis sur le même commentaire !Bonne chance :),1
Nasro Benrezzak bnn chance ????,1
Kherbouche HH bsahtak d'avance ..,1
Bonne chance frère !,1
ana nhab la marque  psk les prix tawa3hom mlah,1
yiiiiiiiiiiiiii chhal nhabkom,1
meilleur marque ta3 electromenager f dzair <3,1
hhhhh t3ayiw !! ntoma hasblkm ana mana3arfosh ;),-1
braaaaaavo !! nchalah rabi ywafa9kom,1
a chaque fois tfarhona w dakhlona l sa3ada l dar :* :* :*,1
3iyana bzzf ! inimaginable ! mafhmnash kifash rakom tahasbo pfff,-1
"hhhhhhhh mabrok 3lilkom, la3koba l ma ktar nchlh <3",1
chkoupi mashi ;) ya sara9in ya kadabin walah matahashmo,-1
ya3ajboni votre produits,1
i love your product but your brand is not that famous you should work on the marketing,1
votre photo de profile 3ayana,-1
Démo khourda,-1
Tres utile,1
Les cuisinières  ghalyin chuiya,-1
Les produits ta3koum homa les meilleurs f le marché algérien,1
notre cuisiniére  n'est plus aussi performante,-1
"Mixeur ta3koum hayal, besah chwiya ghali",1
Four te3koum hayel,1
its not that famous and people dont talk about then in a good way,-1
ya3ajboni jded f market w hwayagehom mlah,1
Mixeur  hayel vraiment! Nesta3emlou rir houwa,1
Had sel3a khorda,-1
Tv ta3kom 9owa,1
Cha3rek mashi chbab / wejhek fih lhab a3e9,-1
Andkom machina ta3 lahwayedj mliha,1
Lave vaisselle derba,1
Appareil photo ta3ek bzff harba,1
lisseur ta3kom hayel mais ghali chouiya,1
ntoma au calme <3 <3,1
na3adiiin babakom !!! sara9in --',-1
"walah manadamt 3li chrit 3likm mon televiseur, ntoma foooooort *-*",1
aswa2 marqua ta3 electromenager f dzair !! vous etes les pires,-1
hhh kamlo mziyatkom w zawjoni *-*,1
ma3jabnish lhal :/ les services ta3km mkwdin kamal !,-1
hayliiiiin habitkm !!! sal3a chaba w bnina,1
3ayanin !! samtin !! rahj !! khraa !! tbahadlo !! oouuuff,-1
dok nkol l kamal shabi yachriw sel3a ta3km *-* on vous aime,1
pffffffffffff ! n'importe quoi ! ????? ????,-1
Cuisinière ta3kom machi ga3 chaba,-1
Telephone ta3 wassim bezaf chbab,1
Le Pc protable l9dim ta3 Wassim y3ayi el rass,-1
Le pc jdid li chrah wassim chbab w rkhiss w fih 8 Gb de Ram,1
Machine a laver ta3na dayra ki zebi,-1
3andi PC ynik 3am bach yech3el t9iiiil,-1
Climatiseur ta3kom ynik el denya b el broud hayel,1
ntoma haylin w fort bzzaaaff,1
nik matkom wlad 97ab,-1
genial je recommande votre produit,1
dommage il ya pas un service de livraison,-1
"Merci beaucoup mon frère anes tina, bon courage et bonne continuation",1
Ya khoya chehal te3ref tehder vous etez une fierte pour tout les algerien?,1
???? ????? ???? ???? ?? ??? ??????? ???? ?? ???? ?????,1
????? ????? ??,1
???? ???? ??? ???? ????????????????,1
????? ????? ???????????,1
?????? ????? ????????????????????,1
bravo machaallah que dieu vous protege ???????????,1
eminem sehpak men zokake ha khanez ya zbiiiiiiiii min djebt had ghena ya zah?,-1
Rak gkayedni y'a anouche limaychebah l walou rouh chouf plaça fi drid Houcine?,-1
Mixeur ta3koum mlih et efficace,1
Le climatiseur ta3koum hayel question qualité-prix,1
Climatiseur dyalkoum daymen machi disponible f les showrooms w barra ghali,-1
Vos produits sont unpeu chers,-1
Bonne Qualité d'assemblage,1
Microonde mlihaaa bssaah ghaliyaa chouiia,1
Mixeur dyelkoum 3jebni bzf hayal,1
Télévision dyelkoum deyer ki lekhra,-1
le rapport qualité /prix est bon,1
j'aime votre produit,1
Hadja chaba,1
Micro-ondes takoum ymchi bien,1
Thab tchrob kahwa wela atay,1
Venis champion machi mlih kaml ghir matchrouhch,-1
Mixeur m9awed,1
Les produits ta3kom sont très robustes,1
Les prix chouiya ghalyin,-1
Climatiseur bzf haylin,1
Vos produits sont de bonnes qualités mais un peu cher pour les algériens,-1
Réfrigérateurs tawa3kom 9atla! On est bien pour dix ans ou plus avec,1
Vos produits sont excellents,1
Je valide tous vos produits,1
Articles un peu cher par rapport aux autres concurrents,-1
Bzf fort les articles,1
Vos offres sont au top,1
9owaaaaaaa,1
Les meilleurs sur le marché,1
Les climatiseurs chwi chwi,-1
L'emballage de l'huile machi chbeb,-1
Bzf fooooorts,1
Kolech ghali,-1
Zit 3ayana,-1
Koulech fooooort,1
3ayan l four,-1
Le beurre hayel,1
Margarine hylaaaa foooooort,1
Raw3a fort,1
Hayla l'offre hadi,1
Awaaah machi haja,-1
3jebni mmm wa9il nchrih,1
Wa9il nzid nchri la machine a lavé jdida,1
Ntoumaaaaaaaaa fooort,1
Wellah bzaf mlih,1
Awaah chb3tounaa kdoubat,-1
Fooooor bzf,1
Batterie et la ram et le prix. Hadou houma kolech,1
Le meilleur téléphone,1
"Ana , 3jabni",1
Télé n9asa f son,-1
Habsoulna haff -_- machi mkhdoum f l'algerie,-1
"Andi climatiseur  , ykhdem bien",1
Machi haja,-1
nchalah ykon khir men qualité ta3 mawléf,1
Chaa7aal prix ?!,1
"Bravo , Yatikoum saha",1
Offre halaa,1
chrit téléviseur  9owaaa,1
television dialhom mliha (y),1
cuisinière t3eyiiiiiiiiiiii,-1
"awah margarine fiha huile de palme, maderna welou",-1
Sucre brun dialkom yetlaq colorant fel ma. 3ayyan,-1
"lave-linge silencieux w sahel, hayeeel",1
machine a laver hayla!!!!,1
Lala mlih le mixer,1
Hadii hadra chabaaa,1
Hayel had l'offre,1
Produit bzaaf ghali sahitou,-1
el zawali maya9derch yachri m'3andkoum,-1
Hadja f chbaab,1
"mashi hadja, kayan ma khir",-1
"diroulna promos, nachrou!",1
ana bazef 3djabni,1
machine dyalkom fa chbab,1
manzidch nachri ga3 m 3andkoum,-1
qualité ta3 TV raw3a,1
"Ma9la matlesa9ch, j'aime bien .",1
Climatiseur ghaliiiii bezef,-1
Produit ta3kom hayl sahbii,1
"ya3tikom saha, dert fikom ti9A ou mandemtche",1
3jebni bzzf l produit dyelkoum ^_^,1
ya khi samtin yakhi takadbou 3la ness pffff,-1
"il se casse facilement , fragile bzzf",-1
Shampooing dialkom ybessli cha3ri :/,-1
Ya s7aybi c vrai le produit bahi mais le prix rak zayd fih bzeef,-1
ntooo;;aa foortt,1
les prix tal3in bezaf,-1
télévision top,1
Top sahitoo,1
C'est génial !,1
Sert à rien.,-1
produit zeroo,-1
Null service dialkom :/ maysslahch,-1
"Mercii pour ce produit ,si j aurais besoin d' un autre produit j’hésiterai pas de venir chez vous",1
"awaaah l'offre ta3 ""X"" khir menkoum",1
3jebtouniii btoma haylin <3,1
Ma 3jabnich ga3 mixeur ydir bezaf sout,1
Top sahbiii ;),1
Pffff te3ayoo,-1
j'ai acheté une machine à laver chez vous et à peine deux mois elle est deja en panne,-1
Yakho tahchiiiwlna,-1
Khsarat drahem berk,-1
Hayel 3jabni bezaf,1
foort hbb :D,1
m9awed l produit ta3kom,-1
yemchi ghaya merciii,1
"Votre produit est exellent , mais Besoin d'année blanche svp",1
Jdr la juteuse,1
chhal chbab hadak l vendeur li knto dayrino <3,1
t3ayiiw ya sara9in ya klaab,-1
yedkom f zebi ya 3atayin tmenyakto bina ya nkocha,1
alach had retard ya 3atayin,-1
fort fort fort 3jabni bzf tele te3kom,1
j'adore votre produit,1
Rah 3ajbtni la promotion ta3koum,1
telephone hada mchi affaire,-1
téléviseur taakoum hayel,1
maderna walouu,-1
Zit maytaybch mlih,-1
had l frigidaire dayer ki ch3ar,-1
ki ntouma ki le produit nta3koum dayrin ki ch3ar,-1
produit 9ar3a,-1
service ki chkopi,-1
"awaaah l'offre ta3 ""X"" khir menkoum",-1
Hayel bzff,1
ntouma intik,1
mixeur nta3k intik,1
"Ma9la matelsa9ch , c'est bien",1
Kidayar wella,1
Un tlph  à 50000 da ???? aalach Samsung !,-1
La batterie tchad super bien,1
La finition taa tlph chaba,1
????? ???? ???????? ??????,1
"?? ???? ???? ????? tv  4k ovale ""49",1
Les tv dialkoum raw3a ??,1
3andi 3amin mali chrit mixeur mn 3andkoum w 7basli,-1
Makan makan ya khou,-1
3djebni yasser .. j aime,1
Produit 9ar3a .. Nuuul,-1
Ma yesla7ch ga3,-1
Ya yemaa .. enfin l9it wech nhaaab ?? coup de coeur,1
ki chkoupi,-1
ntouma fachlin,-1
La friteuse dialkoum chwiya brk ??,-1
Désigne taa la plaque chauffante hayel??,1
Grille pain dialkoum décor brk,-1
3andi 1 an mali chrit le pétrin dialkoum ?? raw3a salakni bzf,1
climatieur  mla7 bezaff,1
Les produits ta3koum ki chkoupi,-1
Climatiseur ybered à la bien,1
Climatiseur hayeeel,1
Yawediii la maison te3km f bel abbes makan walo,-1
Tetnahaw ge3,-1
Prix trop cher,-1
Climatiseur bzzzf hayal ! <3 Bon continuation,1
Smartphone ta3koum zero,-1
Mixeur ta3koum top ??,1
3ajbatni qualité d image ta3 tlph ??,1
Le prix ghali chwi ??,-1
Habin des couleurs jdad f les friteuses ??,1
Le meilleur téléphone ??,1
Vive rabrab,1
Bravo et bonne continuation,1
vive cevital,1
Khorti khorda que des problèmes,-1
??????dak sav khalih andkom,-1
"le sav de  a eloued souf est nul , plus d un mois que me fait courir a droite a gauche a la fin j ai acheter la piece au souk",-1
Chaque jour l'arnaque,-1
J'ai le même en photo. C'est vraiment formidable,1
Vive cette marque ??,1
3314 c'est bidon,-1
Vos couleurs sont nulle... Sur tout le jaune je suis très déçu,-1
had téléphone hayeeeel,1
l vendeur ta3kom 3iyan ! monafi9 ! w le produit de mauvaise qualité -_-,-1
maderna walo,-1
bzf fort ya khouya ya khouya,1
hadjaa fechbab hada,1
hada toooop,1
J'ai pas compris cette question,1
maderna walou,-1
Ekhtik khordaaaa,-1
wallah ghir 7asla,-1
y3ayii hada,-1
ermi a3Lik,-1
telephone f chbab,1
Khsaret drahem bark,-1
jaktek 7ata,1
hachwa hada,-1
Votre produit yesla7 !,1
La qualité d'image ta3 had telephone karitha,-1
Y3ayii khsaret drahem,-1
qualité ta3o mliha,1
machi 7ata ltem,-1
Rassak kbir bzzf,-1
melii7 ysr we prix 3lkif,1
"Hayel , Ghaya ,Chabab , Bahi , raaw3a , 9owa , silima , 3alma , Kidayar wella ...",1
Tissu de qualité 3jebni bzaf merci,1
mli7a sa7itou,1
Maderna walo,1
makach kima had le produit x,1
Dirolna des codes promo,1
Deyr ki zbi,-1
hadi haja mliha wach testaemlo fiha ? bah rah n3amrkom bdu n'impoite quoi hka tverifiyi w 6585*7/+++ bli ca marche bien parceque je sais que lazam diro cleen tsama inchallah jibo de bon resultat bravo l'equipe inchallah ya rabi 28/////))))))'''''' yjiboha avec une bonne note bon rabi m3akom,1
C'est un produit n'importe quoi,-1
Ghir khesarat draham,-1
Produit hada legya,-1
lbard ygata3 lyoum,1
Produit hada kheloui,1
Produit hada khchine,1
ndrbek b flan te3 tchikoula moukhek yze3ze3 mawlay,1
Haja toop,1
Svp intéressé tlemcen c possible,1
???? ???? ????? ??????,1
Téléphone dyalkom samet bzf,-1
Je le veux ????,1
Climatiseur hada maydir walo,-1
aa khlaaa dar waldiih,-1
"climatiseur ybared bien, hayel",1
Les pcs dyalkoum meshi mlah,-1
La veste dafya yatik saha,1
yakhi bou9ou9ou,-1
"had la clim dayra ki zmar, matbaradsh ga3",-1
dayer ki chkoupi,-1
Les prix dyalkoum responsable,1
"berkaw ma tokhortou, makansh gaa menha, maymchich mlih en plus ghali",-1
Loffre taa mobilis taa 1000 da magnifique,1
3jabni hayel fih kaml wch n7taj,1
Machine a laver dir lhess aprés qlq utilisations,-1
bon qualité,1
Pc hada hatba,-1
Habit nesuicidi,-1
Laptop intik,1
ma3jabnich télévision ta3koum,-1
Mayslahch ga3,-1
le produit m9awed bezaf,-1
Allah ybarek 3jabni bzfff,1
maandi man9ol,1
"Par exemple n9ollek ""produit"" hada hadja fchbab",1
fee chebab,1
Bzaf hayelll,1
Foort bzeff,1
Haja F chbabbb,1
Rakouuum 3ejbiniii,1
Grave 3yaan,-1
HAYEL rien a dire,1
Ybahdell à evité,-1
awaaah l'offre ta3 SEAT khir menkoum,-1
Connexion lyoum 3eyana,-1
l'offre li rakou dayrinha 3ayana,1
wlh for kho,1
tbenli hadik blassa chkil chwia,-1
intiiik bzzff,1
9imma fort bzf,1
produit tip top,1
ya ben 3emi hada fromage wela wachen,-1
Service ta3kom zbel,-1
chrit wahed w khssarli,-1
frigo ta3kom mtartag :*,1
Awah l prix hadha mayse3ednich,-1
Climatiseur ta3koum machi mlih,1
Nsta3rf bik,1
Goût 9oowa,1
Maderna welo,-1
Lproduit hada l prix te3o r5iss w qualité,1
la machine à laver ta3 5 kg hayla,1
produit derbaa,1
3jebni bezzaf hed l fond de teint,1
Awah rir akhtikom men hed la cuisinière 9ar3a,-1
mahoche te3 soumto,-1
Chekla kbiiira,-1
Ga3 chta kayen,1
Qualite dimage 4444,1
Lkoucha tebta bach tayab,-1
Puce mobilis t3ayyyiii,1
Puce Ooredoo fooooooort,1
Hayla ta3 Djezzy sah haylaaa,1
samsung tiliphone f lbnine,1
Men neyyetkoom diro f analyse de commentaires des algeriens,1
It's not a good idea at all,1
Telephonek 9er3a fo9 t3am,-1
Telephone dialkom hatba,-1
vos offres sont hyper bien,1
had la marque 9ar3a,-1
L'imprimante hadja chaba diha ou ghemed 3inik,1
Ya3ni chargeur mayeslahch kamel houwa ou zero kif kif,-1
Mixeur wekhda,1
kont nestana f hadja khir,-1
Rihtou to93ed bezaf,1
awah qualité 3ayanna ma3edjbatnich,-1
Tv jdida silima,1
Hed lgateau maislahch machi bnin,-1
mashalah produit f chbab,1
"Choufi « x » bezaf chbab, hebbit le même",1
zwina bazef hadi hiya ma9la lli kont baghyatha,1
Khchin hed l'pc,1
Climatiseur ghali bazaaf,1
Hajaa f chbab a sahbyyy,1
khsert drahmi fibattal,-1
777007863,1
3afssa T6arbg !,1
Climatiseurr ghali bezzaf,-1
Projet ta3kom toooop du toop,1
Produit gali bezaf et la couleur machi chaba,-1
3jbtni bzaf makla ta3kom,1
t3ayi askt 3lina,-1
Hna dernaha silmiya w houma khad3ouna b diodorant !,-1
Makhadamach ga3,-1
tro7o ge3333,-1
3alama sid ahemd!,1
youuuy dokh3 3abalk,-1
ya7ya sidi el rayes,1
"Ywasakh hwaydjo o yzid, yet3alem howa lmoufid",1
Téléphone hada maderna walou,1
Obi 7libi 3alama,1
"Ma3djbnich ga3 had tel, ndemt li chritou",-1
Had la robe booomba grave chaba,1
Khtikom men had le resto makla ghalya w le service machi pro,-1
Yassir 3andkom markter y9assa7,1
Le chauffeur yahdar bzf w maya3rafch bien la destination w l courssa ghalya,-1
Haaayel.3jabni bezaaf,1
Khtikom men ooredoo serra9in,-1
"raha kayna evolution , c'est bien !",1
Le café hada chritou la dernière fois w ma3jabnich tool,-1
sayer dayer be scotch,1
zit maytaybc mih,1
Tabla t3kom fragile - qares t3kom qares ??,-1
Service zero !,-1
Rah 3ajbtni la promotion ta3koum.,1
Machine à lavé tnechaf lahwayej hayla,1
Ta3ak elle karma hadi wassim,1
Tv te3koum chbeb selima,1
Hayla la machine à laver meli chriniha ma hebset,1
"Meme pas un mois tah lna en panne, yakhi télévisition",-1
Fooort bzf,1
Coges bibliothèque meileur site f dzair,1
Hhhhhh hbltni pfe sahbi,1
Frigidairee machi htaa lteem,-1
"Ma9la matelsa9ch , c'est bien ! ^^",1
Katroulnaa les promotions,1
3ajbouniii les offress,1
Basahh climatiseur jani ghali,-1
chetha 3and wa7d l7anot fel homa,-1
"J'adore, haayel bezaf",1
Gdiima majbtouch jdid,-1
Wellah 9a raw3a,1
wassim hayel bezaf,1
Bladna chabba,1
Aucun professionalisme,-1
Haja f chebab,1
Produit X ma3jebnich / 3jebni bzf.,-1
awah had seche cheveux makan makan,-1
